Item Number,Paper Title,Summary
1,"Hybrid Nature-Inspired Based Oversampling and Feature Selection Approach for Imbalance Data Streams Classification","Disagreement on relevance to big data and numerical methods for deep learning."
2,"A new Algorithm based on the Gbest of Particle Swarm Optimization algorithm to improve Estimation of Distribution Algorithm","Disagreement on applicability to deep learning in big data contexts."
3,"A Intelligent CNN-BiLSTM Approach for Chinese Sentiment Analysis on Spark","Disagreement on relevance to numerical methods and distributed computing for deep learning."
4,"Parallel Optimization of Depth Learning Algorithm Based on Behavior Recognition","Disagreement on relevance to big data applications."
5,"A Parameter-Optimized CNN Using WOA and Its Application in Fault Diagnosis of Bearing","Disagreement on relevance to big data and numerical methods for deep learning."
6,"Deep Neural Networks for traffic flow prediction","Disagreement on relevance to numerical methods and big data applications."
7,"Online Aid For Detecting Brain Tumor And Tuberculosis Using Deep Learning","Disagreement on relevance to numerical methods and big data applications."
8,"A Convolutional Autoencoder Method for Simultaneous Seismic Data Reconstruction and Denoising","Disagreement on relevance to big data applications."
9,"PANDA: Population Automatic Neural Distributed Algorithm for Deep Leaning","Disagreement on relevance to numerical methods for deep learning."
10,"IoT Intrusion Detection System Using Deep Learning and Enhanced Transient Search Optimization","Disagreement on relevance to numerical methods and big data applications."
11,"An Adaptive Gradient Method with Differentiation Element in Deep Neural Networks","Disagreement on relevance to big data applications and distributed computing."
12,"Enhanced UNet Approach for Detecting Stroke Lesions in Computed Tomography Brain Scans","Disagreement on relevance to numerical methods and big data applications."
13,"Vehicle Type Classification System for Expressway Based on Improved Convolutional Neural Network","Disagreement on relevance to numerical methods and big data applications."
14,"Research on Fault Prediction Technology Based on Improved LSTM Neural Network","Disagreement on relevance to numerical methods and big data applications."
15,"New Insights Into Drug Repurposing for COVID-19 Using Deep Learning","Disagreement on relevance to numerical methods for deep learning."
16,"Versatile Communication Optimization for Deep Learning by Modularized Parameter Server","Disagreement on relevance to numerical methods for deep learning."
17,"Intracranial Hemorrhage Detection using Deep Learning and Optimization Techniques","Disagreement on relevance to numerical methods and big data applications."
18,"Deep Generative Design Models for Improved Door Frame Performance","Disagreement on relevance to numerical methods and big data applications."
19,"Prediction Bitcoin Price based on Long Short Term Memory (LSTM) Optimized by Gradient Descent","Disagreement on relevance to numerical methods and big data applications."
20,"A novel sigmoid butterfly optimization deep learning model for big data classification","Disagreement on relevance to numerical methods for deep learning."
21,"Quantum Machine Intelligence for 6G URLLC","Disagreement on relevance to numerical methods and big data applications."
22,"Classification of DNA Microarray Gene Expression Leukaemia Data through ABC and CNN Method","Disagreement on relevance to numerical methods and big data applications."
23,"Big data classification using deep learning and apache spark architecture","Disagreement on relevance to numerical methods for deep learning."
24,"Application of machine learning, deep learning and optimization algorithms in geoengineering and geoscience: Comprehensive review and future challenge","Disagreement on relevance to numerical methods for deep learning in big data contexts."
25,"Water Pollution Prediction Based on Deep Belief Network in Big Data of Water Environment Monitoring","Disagreement on relevance to numerical methods for deep learning."
26,"Rider-Deep Belief Network-Based MapReduce Framework for Big Data Classification","Disagreement on relevance to numerical methods for deep learning."
27,"Big data in omics and imaging: Association analysis","Disagreement on relevance to numerical methods and deep learning applications."
28,"A deep LSTM network for the Spanish electricity consumption forecasting","Disagreement on relevance to numerical methods and big data applications."
29,"Research on Automatic Essay Scoring of Composition Based on CNN and OR","Disagreement on relevance to big data applications and distributed computing."