id,Name,Author,Year,Publication Name,DOI,Publication Year,Database,Publication Type,q1,q2,q3,q4,q5,q6,q7,final_decision
1,DeepLoc: A Deep Neural Network-based Indoor Positioning Framework,S. Liu; Q. Ren; J. Li; H. Xu,2021.0,"2021 IEEE 23rd Int Conf on High Performance Computing & Communications; 7th Int Conf on Data Science & Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)",10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00255,2021.0,IEEE Conferences,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,A Communication-Efficient Federated Learning Scheme for IoT-Based Traffic Forecasting,C. Zhang; L. Cui; S. Yu; J. J. Q. Yu,2022.0,IEEE Internet of Things Journal,10.1109/JIOT.2021.3132363,2022.0,IEEE Journals,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,Meta-WF: Meta-Learning-Based Few-Shot Wireless Impersonation Detection for Wi-Fi Networks,T. Li; Z. Hong; L. Liu; Z. Wen; L. Yu,2021.0,IEEE Communications Letters,10.1109/LCOMM.2021.3112518,2021.0,IEEE Journals,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,Fault Diagnosis Method of Link Control System for Gravitational Wave Detection,A. Gao; S. Xu; Z. Zhao; H. Shang; R. Xu,2024.0,Journal of Systems Engineering and Electronics,10.23919/JSEE.2024.000048,2024.0,BIAI Journals,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,Multi disease-prediction framework using hybrid deep learning: an optimal prediction model,Ampavathi A.; Saradhi T.V.,2021.0,Computer Methods in Biomechanics and Biomedical Engineering,10.1080/10255842.2020.1869726,2021.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,WOA + BRNN: An imbalanced big data classification framework using Whale optimization and deep neural network,Hassib E.M.; El-Desouky A.I.; Labib L.M.; El-kenawy E.-S.M.,2020.0,Soft Computing,10.1007/s00500-019-03901-y,2020.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,Effective Big Data Retrieval Using Deep Learning Modified Neural Networks,Prasanth T.; Gunasekaran M.,2019.0,Mobile Networks and Applications,10.1007/s11036-018-1204-y,2019.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,SuperMeshing: Boosting the Mesh Density of Stress Field in Plane-Strain Problems Using Deep Learning Method,"Xu, HD; Nie, ZG; Xu, QF; Li, YG; Xie, FG; Liu, XJ",2023.0,JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,10.1115/1.4054687,2023.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,A Novel Resource Optimization Algorithm Based on Clustering and Improved Differential Evolution Strategy Under a Cloud Environment,"Zhou, Z; Li, FM; Yang, SQ",2021.0,ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,10.1145/3462761,2021.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,Meta-Heuristic Optimization of LSTM-Based Deep Network for Boosting the Prediction of Monkeypox Cases,"Eid, MM; El-Kenawy, EM; Khodadadi, N; Mirjalili, S; Khodadadi, E; Abotaleb, M; Alharbi, AH; Abdelhamid, AA; Ibrahim, A; Amer, GM; Kadi, A; Khafaga, DS",2022.0,MATHEMATICS,10.3390/math10203845,2022.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,Support Vector Regression Integrated with Fruit Fly Optimization Algorithm for River Flow Forecasting in Lake Urmia Basin,"Samadianfard, S; Jarhan, S; Salwana, E; Mosavi, A; Shamshirband, S; Akib, S",2019.0,WATER,10.3390/w11091934,2019.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,Bone age assessment using convolutional neural networks,S. Wang; Y. Shen; D. Zeng; Y. Hu,2018.0,2018 International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD.2018.8396189,2018.0,IEEE Conferences,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,A Intrusion Detection Model Based on Convolutional Neural Network and Feature Selection,L. Zhang; C. Xu,2022.0,2022 5th International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD55127.2022.9820384,2022.0,IEEE Conferences,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
23,Improved Multi-Agent Deep Deterministic Policy Gradient for Path Planning-Based Crowd Simulation,S. Zheng; H. Liu,2019.0,IEEE Access,10.1109/ACCESS.2019.2946659,2019.0,IEEE Journals,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,Hybrid Optimization Algorithm for Detection of Security Attacks in IoT-Enabled Cyber-Physical Systems,A. Sagu; N. S. Gill; P. Gulia; I. Priyadarshini; J. M. Chatterjee,2024.0,IEEE Transactions on Big Data,10.1109/TBDATA.2024.3372368,2024.0,IEEE Early Access Articles,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,Improved Double Deep Q Network-Based Task Scheduling Algorithm in Edge Computing for Makespan Optimization,L. Zeng; Q. Liu; S. Shen; X. Liu,2024.0,Tsinghua Science and Technology,10.26599/TST.2023.9010058,2024.0,TUP Journals,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,Learning-Based Application-Agnostic 3D NoC Design for Heterogeneous Manycore Systems,B. K. Joardar; R. G. Kim; J. R. Doppa; P. P. Pande; D. Marculescu; R. Marculescu,2019.0,IEEE Transactions on Computers,10.1109/TC.2018.2889053,2019.0,IEEE Journals,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,WOA plus BRNN: An imbalanced big data classification framework using Whale optimization and deep neural network,"Hassib, EM; El-Desouky, AI; Labib, LM; El-kenawy, ESM",2020.0,SOFT COMPUTING,10.1007/s00500-019-03901-y,2020.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,Unsupervised Land Cover Classification of Hybrid and Dual-Polarized Images Using Deep Convolutional Neural Network,A. Chatterjee; J. Saha; J. Mukherjee; S. Aikat; A. Misra,2021.0,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2020.2993095,2021.0,IEEE Journals,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,Reliability Analysis of Power Distribution Network Based on PSO-DBN,H. Shan; Y. Sun; W. Zhang; A. Kudreyko; L. Ren,2020.0,IEEE Access,10.1109/ACCESS.2020.3007776,2020.0,IEEE Journals,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,A Comprehensive Survey on Training Acceleration for Large Machine Learning Models in IoT,H. Wang; Z. Qu; Q. Zhou; H. Zhang; B. Luo; W. Xu; S. Guo; R. Li,2022.0,IEEE Internet of Things Journal,10.1109/JIOT.2021.3111624,2022.0,IEEE Journals,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,Machine Learning in Business Process Monitoring: A Comparison of Deep Learning and Classical Approaches Used for Outcome Prediction,"Kratsch, Wolfgang; Manderscheid, Jonas; Röglinger, Maximilian; Seyfried, Johannes",2021.0,Business & Information Systems Engineering,https://aisel.aisnet.org/bise/vol63/iss3/5,2021.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,Unlocking the Power of Voice for Financial Risk Prediction: A Theory-Driven Deep Learning Design Approach,"Yang, Yi; Qin, Yu; Fan, Yangyang; Zhang, Zhongju",2023.0,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol47/iss1/5,2023.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,Cooperative Control for Multi-Intersection Traffic Signal Based on Deep Reinforcement Learning and Imitation Learning,Y. Huo; Q. Tao; J. Hu,2020.0,IEEE Access,10.1109/ACCESS.2020.3034419,2020.0,IEEE Journals,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,Learning to Optimize Vehicle Routes Problem: A Two-Stage Hybrid Reinforcement Learning,W. Zhang; X. Wang,2023.0,"2023 International Conference on Sensing, Measurement & Data Analytics in the era of Artificial Intelligence (ICSMD)",10.1109/ICSMD60522.2023.10490595,2023.0,IEEE Conferences,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,Robust Fine-Grained Visual Recognition With Neighbor-Attention Label Correction,S. Mao; S. Zhang,2024.0,IEEE Transactions on Image Processing,10.1109/TIP.2024.3378461,2024.0,IEEE Journals,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,Exponential Chimp Optimization Algorithm based Deep Neuro‐Fuzzy Network with MapReduce framework for fake news detection in big data analytics,"Kanchanamala P,Selva Rani B,Vairamuthu S",2023.0,"John Wiley & Sons, Inc.",10.1002/acs.3645,2023.0,ACM,Journal Article,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,Machine Learning in Business Process Monitoring: A Comparison of Deep Learning and Classical Approaches Used for Outcome Prediction,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,Advanced Deep Learning Model for Predicting the Academic Performances of Students in Educational Institutions,"Baniata, LH; Kang, S; Alsharaiah, MA; Baniata, MH",2024.0,APPLIED SCIENCES-BASEL,10.3390/app14051963,2024.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,Multi-site fMRI analysis using privacy-preserving fe derate d learning and domain adaptation: ABIDE results,"Li, XX; Gu, YF; Dvornek, N; Staib, LH; Ventola, P; Duncan, JS",2020.0,MEDICAL IMAGE ANALYSIS,10.1016/j.media.2020.101765,2020.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,A TLBO-Tuned Neural Processor for Predicting Heating Load in Residential Buildings,"Almutairi, K; Algarni, S; Alqahtani, T; Moayedi, H; Mosavi, A",2022.0,SUSTAINABILITY,10.3390/su14105924,2022.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,A comprehensive framework for hand gesture recognition using hybrid-metaheuristic algorithms and deep learning models,"Mohyuddin, H; Moosavi, SKR; Zafar, MH; Sanfilippo, F",2023.0,ARRAY,10.1016/j.array.2023.100317,2023.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,An Intrusion Detection Approach using Hierarchical Deep Learning-based Butterfly Optimization Algorithm in Big Data Platform,Manoranjithem; S. Dhanasekaran; A. Asokan; A. Kumar; C. Yamini; M. Tiwari,2023.0,2023 International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),10.1109/IDCIoT56793.2023.10053504,2023.0,IEEE Conferences,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
48,Semi-Supervised Discovery of DNN-Based Outcome Predictors from Scarcely-Labeled Process Logs,"Folino, Francesco; Folino, Gianluigi; Guarascio, Massimo; Pontieri, Luigi",2023.0,Business & Information Systems Engineering,https://aisel.aisnet.org/bise/vol64/iss6/3,2023.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,Predictive End-to-End Enterprise Process Network Monitoring,"Oberdorf, Felix; Schaschek, Myriam; Weinzierl, Sven; Stein, Nikolai; Matzner, Martin; Flath, Christoph M.",2023.0,Business & Information Systems Engineering,https://aisel.aisnet.org/bise/vol65/iss1/4,2023.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,Creating Proactive Cyber Threat Intelligence with Hacker Exploit Labels: A Deep Transfer Learning Approach,"Ampel, Benjamin M.; Samtani, Sagar; Zhu, Hongyi; Chen, Hsinchun",2024.0,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol48/iss1/7,2024.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,Go to You Tube and Call Me in the Morning:  Use of Social Media for Chronic Conditions,"Liu, Xiao; Zhang, Bin; Susarla, Anjana; Padman, Rema",2020.0,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol44/iss1/12,2020.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,Enhancing Social Media Analysis with Visual Data Analytics:  A Deep Learning Approach,"Shin, Donghyuk; He, Shu; Lee, Gene M.; WHINSTON, ANDREW B.; Centintas, Suleyman; Lee, Kuang-Chih",2020.0,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol44/iss4/3,2020.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,A Novel Business Process Prediction Model Using a DeepLearning Method,"Mehdiyev, Nijat; Fettke, Peter; Evermann, Joerg",2020.0,Business & Information Systems Engineering,https://aisel.aisnet.org/bise/vol62/iss2/5,2020.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,Wearable Sensor-Based Chronic Condition Severity Assessment: An Adversarial Attention-Based Deep Multisource Multitask Learning Approach,"Yu, Shuo; Chai, Yidong; Chen, Hsinchun; Sherman, Scott J.; Brown, Randall A.",2022.0,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol46/iss3/7,2022.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,A Deep Learning Approach for Recognizing Activity of Daily Living (ADL) for Senior Care:  Exploiting Interaction Dependency and Temporal Patterns,"Zhu, Hongyi; Samtani, Sagar; Brown, Randall A.; Chen, Hsinchun",2021.0,Management Information Systems Quarterly,https://aisel.aisnet.org/misq/vol45/iss2/13,2021.0,Aisel,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,AI-Based on Machine Learning Methods for Urban Real Estate Prediction: A Systematic Survey,Stéphane C. K. TekouabouŞtefan Cristian GherghinaEric Désiré KameniYoussef FilaliKhalil Idrissi Gartoumi,2024.0,Archives of Computational Methods in Engineering,10.1007/s11831-023-10010-5,2024.0,Springer,Stéphane C. K. TekouabouŞtefan Cristian GherghinaEric Désiré KameniYoussef FilaliKhalil Idrissi Gartoumi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,Prescriptive analytics systems revised: a systematic literature review from an information systems perspective,Christopher WissuchekPatrick Zschech,2024.0,Information Systems and e-Business Management,10.1007/s10257-024-00688-w,2024.0,Springer,Christopher WissuchekPatrick Zschech,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,Intelligent Materials Improvement Through Artificial Intelligence Approaches: A Systematic Literature Review,José G. B. A. LimaAnderson S. L. GomesAdiel T. de Almeida-Filho,2024.0,Archives of Computational Methods in Engineering,10.1007/s11831-024-10163-x,2024.0,Springer,José G. B. A. LimaAnderson S. L. GomesAdiel T. de Almeida-Filho,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,Artificial Intelligence Based Methods for Smart and Sustainable Urban Planning: A Systematic Survey,Stéphane Cédric Koumetio TekouabouEl Bachir DiopRida AzmiJérôme Chenal,2023.0,Archives of Computational Methods in Engineering,10.1007/s11831-022-09844-2,2023.0,Springer,Stéphane Cédric Koumetio TekouabouEl Bachir DiopRida AzmiJérôme Chenal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,Tracking machine learning models for pandemic scenarios: a systematic review of machine learning models that predict local and global evolution of pandemics,Marcelo Benedeti PalermoLucas Micol PolicarpoCristiano André da CostaRodrigo da Rosa Righi,2022.0,Network Modeling Analysis in Health Informatics and Bioinformatics,10.1007/s13721-022-00384-0,2022.0,Springer,Marcelo Benedeti PalermoLucas Micol PolicarpoCristiano André da CostaRodrigo da Rosa Righi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,Intelligent Slime Mould Optimization with Deep Learning Enabled Traffic Prediction in Smart Cities,"Hamza, MA; Alsolai, H; Alzahrani, JS; Alamgeer, M; Sayed, MM; Zamani, A; Yaseen, I; Motwakel, A",2022.0,CMC-COMPUTERS MATERIALS & CONTINUA,10.32604/cmc.2022.031541,2022.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,Towards Modified Entropy Mutual Information Feature Selection to Forecast Medium-Term Load Using a Deep Learning Model in Smart Homes,"Samuel, O; Alzahrani, FA; Khan, RJU; Farooq, H; Shafiq, M; Afzal, MK; Javaid, N",2020.0,ENTROPY,10.3390/e22010068,2020.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,Double-Target Based Neural Networks in Predicting Energy Consumption in Residential Buildings,"Moayedi, H; Mosavi, A",2021.0,ENERGIES,10.3390/en14051331,2021.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,Analysis of the application methods of film and television media and images in the era of big data cloud,"Zhang, Q",2023.0,APPLIED MATHEMATICS AND NONLINEAR SCIENCES,10.2478/amns.2023.1.00063,2023.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68,Bayesian Optimization LSTM/bi-LSTM Network With Self-Optimized Structure and Hyperparameters for Remaining Useful Life Estimation of Lathe Spindle Unit,"Thoppil, NM; Vasu, V; Rao, CSP",2022.0,JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,10.1115/1.4052838,2022.0,WoS,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
